x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,1,3,2,0,1,1,2,2,0,1,-1.0661086493179344,63457
1,3,3,2,0,0,3,0,1,3,2,3,-1.0661086493179344,64087
1,3,3,0,2,0,3,1,1,3,2,3,-0.35229062606462536,64752
0,1,1,2,2,0,3,0,0,1,1,1,-0.5490812095500958,65389
2,1,1,1,3,0,0,1,1,1,0,2,-1.0661086493179344,66033
2,1,1,2,3,0,0,3,1,3,1,2,-0.35229062606462536,66705
2,0,0,3,2,3,3,2,0,3,3,2,-1.0661086493179344,67380
0,2,0,0,1,2,2,2,3,0,1,1,-0.343275696006459,68033
0,0,1,0,0,0,0,0,0,0,0,0,-1.0661086493179344,68705
0,2,0,2,1,1,2,2,3,1,1,1,-1.0661086493179344,69363
0,0,0,0,0,0,0,3,0,0,3,1,-1.0661086493179344,70000
2,1,1,0,3,0,0,1,1,1,1,0,-0.3342607659482927,70674
0,3,3,0,0,0,3,0,0,3,0,1,-0.5490812095500952,71326
0,2,0,3,1,1,2,2,3,1,0,1,-1.0661086493179344,71981
0,0,2,0,0,0,0,0,0,0,0,2,-1.0661086493179344,72622
0,0,0,0,0,0,0,0,0,0,0,1,-1.0661086493179344,73295
2,1,1,1,3,0,0,1,1,0,2,2,-0.8075949294340148,73972
0,1,3,0,3,1,1,0,2,2,3,1,-0.5310513494337629,74103
0,2,0,3,1,2,2,2,3,1,2,1,-0.5310513494337629,74777
0,3,2,0,3,2,0,3,2,0,3,0,-0.5400662794919292,75408
2,0,3,3,2,3,1,1,0,3,2,3,-0.8075949294340148,76069
1,0,3,3,0,2,0,0,1,2,3,0,-0.8075949294340151,76748
0,2,0,3,1,1,2,2,3,1,1,1,-1.0661086493179344,77428
1,2,3,2,2,0,3,0,1,3,0,3,-0.8075949294340148,78107
1,3,3,2,0,1,3,0,2,2,2,3,-0.5310513494337629,78758
1,3,3,0,3,2,3,2,1,1,0,1,-1.0661086493179344,79436
0,2,0,1,1,0,2,2,3,1,0,1,-0.5310513494337629,80082
0,0,3,0,1,0,1,0,0,0,2,2,-0.5310513494337629,80765
0,2,0,3,0,1,2,2,3,1,1,1,-0.8075949294340151,81452
1,2,3,1,0,0,2,0,1,3,1,3,-0.5400662794919292,82121
1,3,0,0,3,2,3,2,1,1,0,1,-0.8075949294340151,82783
1,0,2,3,2,3,1,2,0,3,0,2,-0.5310513494337629,83440
0,2,0,0,1,1,2,3,3,1,2,1,-0.3342607659482927,84122
1,2,3,3,3,2,3,2,1,1,0,1,-0.8075949294340148,84804
0,0,1,1,0,0,3,1,0,0,0,3,-1.0661086493179344,85466
3,1,2,2,1,1,0,1,0,1,3,2,-0.8075949294340148,85601
2,0,0,0,2,3,3,2,0,3,3,2,-1.0661086493179344,86276
0,3,3,2,2,0,3,0,2,3,2,3,-1.0661086493179344,86950
0,2,2,1,2,2,0,3,1,3,3,0,-0.5400662794919292,87617
1,3,3,2,2,0,3,0,3,3,1,3,-0.5490812095500958,88301
2,3,1,2,3,0,0,1,1,1,0,2,-0.5310513494337629,88937
0,3,0,1,1,2,2,2,3,1,0,1,-0.727841932919233,89592
0,3,3,2,2,0,3,0,1,3,2,3,-0.8075949294340151,90268
0,0,1,3,0,0,0,2,0,0,2,2,-1.0661086493179344,90895
1,3,3,0,3,3,3,2,1,1,1,1,-0.727841932919233,91553
2,0,3,2,2,3,2,2,0,3,0,3,-1.0661086493179344,92230
0,3,0,1,1,1,2,2,3,1,2,1,-0.3342607659482927,92908
3,0,2,0,1,3,1,3,3,0,2,1,-1.0661086493179344,93599
0,0,2,0,0,1,2,2,0,0,0,1,-0.8075949294340148,94267
3,0,3,0,0,3,1,3,3,0,3,2,-0.5400662794919292,94961
3,0,1,0,1,3,1,3,2,0,2,1,-0.5400662794919292,95647
2,1,1,1,3,0,0,0,2,1,2,3,-0.5400662794919292,96303
0,2,0,0,1,1,2,2,1,1,0,1,-0.5490812095500958,96960
0,2,0,0,1,1,2,1,3,1,1,1,-0.5310513494337629,97628
2,0,2,0,2,3,1,2,0,3,2,3,-1.0661086493179344,98312
0,0,0,0,0,0,0,3,0,0,0,1,-1.0661086493179344,98992
0,2,0,1,1,1,2,2,3,1,1,1,-1.0661086493179344,99685
0,2,0,1,1,1,2,2,3,1,1,2,-1.0661086493179344,100374
0,3,3,2,0,0,3,0,1,3,2,3,-0.8075949294340151,101067
0,2,0,1,1,1,2,2,3,2,1,1,-0.8075949294340148,101752
3,0,0,1,0,0,0,2,0,0,0,2,-0.8075949294340151,102403
0,2,0,1,1,1,2,2,3,1,2,2,-1.0661086493179344,103099
0,2,0,0,3,1,2,2,3,1,2,2,-0.5490812095500958,103766
1,3,3,2,3,0,3,0,2,3,2,3,-0.8075949294340151,104441
3,2,1,2,2,3,2,3,2,1,2,2,-0.5400662794919292,104581
0,2,0,2,1,1,2,2,3,1,1,3,-1.0661086493179344,105266
1,2,0,2,1,1,2,2,3,1,2,1,-0.8075949294340148,105924
0,2,0,3,1,1,2,2,3,1,0,3,-1.0661086493179344,106611
3,0,2,2,1,3,1,3,3,0,2,0,-1.0661086493179344,107287
1,3,2,2,3,3,3,0,2,0,1,3,-1.0661086493179344,107431
2,0,0,0,2,3,1,2,0,3,2,1,-1.0661086493179344,108132
0,2,0,1,1,1,2,2,3,1,2,3,-1.0661086493179344,108786
0,0,0,0,0,0,0,1,0,0,0,0,-1.0661086493179344,109468
0,2,0,0,1,1,2,2,3,3,0,3,-0.5490812095500952,110150
2,2,1,3,0,2,3,1,0,2,3,2,0.004005950450408635,110294
3,0,2,3,1,3,2,3,3,0,2,2,-0.8075949294340151,110929
2,1,0,1,3,2,3,2,3,2,0,1,-0.727841932919233,111074
0,2,0,2,1,1,2,2,3,1,2,1,-1.0661086493179344,111755
3,0,2,1,1,3,1,3,3,1,2,0,-0.8075949294340148,112412
2,0,0,0,2,3,2,2,0,3,0,2,-1.0661086493179344,113074
3,0,2,3,3,3,1,3,3,0,2,1,-0.5490812095500952,113772
2,1,1,1,2,0,0,1,1,1,2,2,-0.8075949294340151,114438
0,2,0,1,1,1,2,2,3,1,0,2,-1.0661086493179344,115129
2,1,1,0,1,0,3,0,2,1,1,1,-0.2725376295498433,115273
1,3,3,0,2,3,3,0,1,0,0,0,-0.5400662794919292,115927
1,3,3,2,2,0,2,0,1,3,2,3,-0.8075949294340151,116575
0,0,3,0,0,0,0,0,0,0,2,0,-1.0661086493179344,117238
0,2,3,2,1,1,2,2,3,1,2,3,-1.0661086493179344,117917
