x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
2,0,3,3,0,3,0,2,2,2,1,3,2,2,1,1,-7.703734742577547,45087
2,0,3,0,2,3,0,2,2,0,1,2,1,0,1,0,-6.551519206335177,45815
2,0,3,0,2,3,0,2,2,3,0,2,2,1,1,2,-6.72298070515672,46559
2,3,3,3,3,3,0,2,2,2,1,2,0,0,2,0,-7.647701741259011,47272
2,3,3,3,2,3,0,2,3,0,1,1,3,0,2,0,-6.283311551667869,47996
3,1,3,3,2,3,0,2,2,2,1,3,2,1,2,1,-6.551519184616835,48720
2,2,3,3,3,3,0,2,2,2,1,3,3,0,2,2,-7.830905584637066,49406
2,0,3,3,2,3,0,0,2,2,1,3,2,1,0,0,-5.590061842866099,50135
2,0,3,3,3,3,0,1,2,2,1,2,3,0,2,1,-6.269955137219625,50821
0,2,1,3,2,1,0,3,0,1,3,1,0,0,0,2,-6.054227555108384,51561
2,3,3,3,2,3,0,2,2,2,1,3,1,0,2,0,-7.767320163607306,52283
2,2,3,3,3,3,0,2,2,2,1,3,3,0,3,2,-7.830905584637066,52985
2,2,3,2,2,3,0,2,2,2,1,3,3,0,2,3,-6.799063117591617,53711
2,3,3,3,3,2,0,2,2,1,1,3,1,0,2,0,-7.703734742577547,54406
2,2,3,3,3,1,0,2,2,0,1,3,1,2,2,0,-7.703734742577547,55115
2,2,3,3,3,3,0,2,2,2,1,3,3,3,3,2,-7.830905584637066,55833
2,0,3,3,2,3,0,2,2,1,1,3,3,3,2,1,-7.767320163607306,56556
2,2,3,3,3,0,0,2,2,2,1,3,3,3,3,0,-7.830905584637066,57287
2,2,3,3,3,0,0,2,2,2,1,3,3,0,3,2,-7.830905584637066,57994
2,0,3,3,3,2,0,2,3,1,0,1,3,3,3,3,-5.01423468768062,58703
2,2,3,3,2,0,0,2,2,2,1,3,3,0,3,2,-7.830905584637066,59391
2,0,3,3,1,0,0,2,2,0,1,3,3,1,3,2,-7.830905584637066,60118
0,3,1,3,2,2,0,2,0,1,2,3,0,0,0,2,-6.367560694390155,60863
2,3,3,3,0,2,0,2,1,1,1,3,2,0,3,3,-6.726304946194493,61596
2,2,3,3,3,0,0,2,2,2,1,2,3,0,3,3,-7.767320163607305,62327
0,3,1,2,2,0,3,1,2,1,2,3,2,3,3,2,-3.2602158506367274,62388
2,2,3,3,2,0,0,2,2,2,1,2,3,1,3,2,-7.767320141888962,63110
2,3,3,3,3,0,0,2,2,2,1,3,3,3,3,2,-7.767320163607306,63816
2,3,3,3,3,3,0,2,2,2,1,1,3,1,1,3,-7.52808329719237,64546
3,2,3,3,1,3,1,3,0,1,0,2,1,3,2,2,-4.802831212899106,64612
0,0,0,3,3,1,2,0,3,2,1,2,1,2,0,0,-4.520305726169104,64676
2,0,3,3,2,0,0,2,2,0,1,3,1,0,3,2,-7.830905584637066,65395
1,0,3,3,0,0,0,2,2,0,3,3,3,0,1,2,-3.1836349426269424,66130
0,1,3,3,0,3,0,2,2,0,1,0,0,0,0,3,-5.21498522990896,66870
