x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
3,3,0,2,0,1,2,0,2,0,0,2,2,2,0,2,0,1,0,2,3,1,3,3,-0.7003384428552214,2289
3,2,1,1,1,2,0,3,0,0,3,2,0,3,3,1,0,2,1,0,0,3,0,2,-1.0218470791559582,2304
3,2,3,1,1,3,1,2,2,1,1,2,3,1,0,0,0,1,1,1,3,3,1,0,-0.433344466151256,2321
3,3,2,3,1,2,1,1,3,0,1,0,0,3,0,1,3,3,1,3,2,0,0,0,-0.433344466151256,2337
0,0,0,3,3,0,3,3,3,1,0,1,0,2,2,0,3,2,3,0,3,0,0,2,-0.8172252402371099,2352
1,2,0,2,3,2,3,0,0,1,0,2,0,0,0,1,2,0,1,1,1,2,0,3,-0.7275957726536071,2366
3,2,1,3,2,1,0,2,3,2,2,0,2,3,0,1,0,1,1,3,2,0,1,0,-1.021847356422765,2382
2,0,1,0,3,2,3,1,1,3,3,1,2,2,0,0,2,0,1,0,1,3,0,2,-0.4284679695754423,2398
2,0,2,1,0,2,3,2,2,2,1,0,0,1,1,0,3,2,1,3,3,2,1,3,-0.06828039234527944,2414
3,3,0,1,2,2,3,3,0,2,3,2,0,2,3,3,0,1,1,1,2,0,1,1,-1.0218470791559582,2431
1,0,1,0,2,1,1,3,3,3,0,0,2,0,2,0,3,2,1,3,2,0,2,0,-0.433176728221067,2446
0,0,2,3,1,3,3,0,3,2,2,2,1,2,2,3,2,1,0,1,0,2,0,0,-1.0267235757317719,2461
2,3,1,2,1,3,2,3,2,2,2,0,3,1,2,0,1,1,1,1,0,2,2,2,-0.9091585437913465,2478
1,2,3,3,1,2,0,1,2,3,3,2,0,1,2,0,2,3,2,3,3,0,2,1,-0.7587815691279653,2495
0,1,1,1,2,2,3,0,0,1,0,3,3,1,2,3,1,0,2,3,1,2,2,0,-0.7275957726536071,2511
2,3,1,1,2,1,2,2,3,0,2,1,1,0,2,2,2,2,2,0,3,0,3,1,-0.5511956885424194,2527
0,3,2,1,3,3,2,3,1,3,3,3,0,3,0,2,0,0,1,1,3,0,0,0,-0.7275957726536071,2543
1,2,2,3,2,2,2,2,2,1,2,1,1,2,0,1,0,3,1,3,0,0,2,0,-0.7862071816929406,2560
0,0,2,2,2,0,0,1,2,2,3,1,1,1,2,1,2,2,0,0,3,2,1,2,-0.4382206854602629,2575
3,3,1,1,2,1,3,0,1,3,2,2,3,1,2,0,1,2,1,1,2,3,3,2,-0.7984085399572327,2593
1,1,0,2,1,0,2,2,1,0,1,3,3,1,2,3,3,2,0,3,3,0,3,0,-0.5944117999471477,2609
3,2,0,3,0,1,3,2,1,0,2,0,2,1,1,1,0,0,0,0,2,0,1,2,-0.8173935230036993,2623
3,2,0,0,1,3,1,1,1,1,3,3,3,1,1,0,1,2,0,2,1,2,1,2,-0.7275957726536071,2639
3,3,1,3,2,0,3,0,3,0,1,2,2,0,2,3,1,1,0,1,3,3,0,2,-0.7587815691279653,2656
3,2,2,1,0,2,0,0,2,0,1,3,2,0,3,0,1,1,1,3,1,1,0,2,-0.7236673059776345,2672
3,0,3,2,0,3,1,3,0,3,1,2,1,3,2,3,3,3,0,0,2,3,2,1,-0.8173926592805479,2688
3,2,0,1,2,3,0,2,2,1,0,0,2,0,3,2,2,1,3,3,0,1,0,3,-1.1512708679530343,2704
0,2,1,0,0,0,3,0,0,1,2,2,1,3,2,1,2,3,2,3,1,2,3,0,-0.4284679695754423,2720
0,2,0,0,3,2,0,1,1,0,2,0,0,0,2,0,0,1,0,1,0,3,2,2,-1.0267235757317719,2734
1,2,0,3,1,3,2,0,1,0,1,0,1,2,2,0,3,0,1,2,3,3,1,1,-0.7860394437627516,2752
0,2,0,3,1,2,2,2,3,1,3,0,1,2,1,2,3,2,0,0,1,1,1,3,-0.6689843636142736,2768
1,1,1,2,1,3,3,3,0,0,1,2,2,1,2,2,3,3,0,3,3,3,0,0,-0.7001707049250323,2785
2,2,0,1,0,0,0,1,3,1,3,2,2,2,3,0,0,0,3,1,1,3,3,3,-0.7275957726536071,2801
0,2,1,1,1,1,0,1,3,1,3,3,0,2,2,2,1,1,3,0,1,1,3,2,-0.08031405429932639,2818
2,3,2,3,1,2,1,2,2,0,2,1,1,0,2,1,1,1,2,2,2,0,3,1,-0.4284679695754423,2835
0,3,3,0,3,1,2,1,1,1,0,0,1,0,1,2,3,2,0,1,3,2,2,3,-0.7275957726536071,2851
3,3,1,1,1,3,1,3,1,2,2,3,0,3,2,1,3,2,0,3,0,0,2,1,-0.6377988860266663,2867
1,1,1,3,0,2,0,0,0,2,1,1,1,2,1,0,3,0,3,0,1,3,2,3,-0.433344466151256,2884
2,1,3,3,2,3,1,3,2,2,2,0,3,2,2,0,1,2,0,1,1,0,0,2,-0.7155660025596378,2900
1,1,3,1,1,3,3,2,2,3,2,2,0,3,2,2,3,0,2,0,3,0,2,3,-1.0267235757317719,2916
1,0,0,2,3,0,1,1,3,1,1,1,3,1,0,0,3,3,2,3,2,2,3,2,-0.433344466151256,2933
2,1,1,0,1,1,1,1,3,1,3,2,0,3,3,3,3,1,0,0,1,0,2,0,-0.44520333328698297,2950
1,3,2,1,1,1,0,3,3,0,3,3,1,3,2,0,1,3,3,3,3,0,0,0,-0.7275957726536071,2966
0,3,2,3,2,0,0,2,2,1,3,2,1,1,2,0,2,0,2,0,2,3,0,1,-0.7860394437627516,2981
3,1,3,2,1,2,2,2,0,0,3,0,2,2,2,2,3,2,1,1,2,3,0,3,-0.6843796612488791,2998
1,3,3,3,3,1,1,3,1,3,2,0,3,3,0,1,1,1,3,3,1,2,2,0,-0.7396255427475764,3016
3,1,0,0,1,0,3,3,2,3,1,1,3,3,0,2,0,0,3,1,1,0,0,1,-1.0218470791559582,3031
1,1,3,0,2,2,1,0,1,0,0,3,3,3,0,2,0,0,3,2,3,2,2,1,-0.7275957726536071,3047
1,0,0,0,1,0,0,0,2,2,2,2,2,3,0,3,2,0,3,0,2,1,1,1,-1.2452856183546837,3061
1,2,3,0,0,2,1,1,2,3,3,2,2,2,3,0,1,3,1,0,1,1,3,1,-1.0267235757317719,3078
2,2,1,1,3,3,2,3,1,1,1,2,3,0,1,0,3,1,2,0,0,1,2,3,-0.7672227434828742,3095
3,1,3,1,3,2,3,1,0,0,0,3,2,0,0,0,2,2,2,3,0,1,3,2,-0.7396255427475764,3110
1,1,2,3,2,0,1,3,0,3,3,1,2,1,0,0,1,3,2,3,1,2,0,3,-0.4284679695754423,3127
3,3,0,2,0,1,3,1,0,1,3,2,3,3,0,3,1,2,1,1,2,3,3,3,-0.6377988860266662,3144
0,3,2,0,1,3,3,2,0,1,0,3,3,1,1,1,2,0,1,2,1,1,2,0,-0.4284679695754423,3160
1,0,2,2,1,1,1,0,0,3,0,1,0,0,3,2,3,0,2,3,1,2,1,1,-0.433344466151256,3175
2,2,0,2,2,0,3,1,3,2,1,3,1,1,3,2,3,2,0,0,2,3,3,3,-0.6964094313428484,3192
1,1,1,3,3,3,0,0,1,0,1,2,2,1,3,3,0,1,1,0,3,3,1,0,-0.7587821139643658,3208
0,1,3,3,3,3,2,1,1,1,3,2,0,0,1,2,3,1,3,1,0,1,0,3,-0.49571578183316567,3224
3,0,0,2,0,1,1,1,3,2,2,1,1,1,1,3,3,1,0,2,3,0,1,0,-0.7275957726536071,3241
0,1,3,2,0,0,2,3,2,3,1,3,2,3,1,2,1,0,2,2,3,3,1,0,-0.4382206854602628,3258
1,0,2,0,3,1,2,3,0,1,0,2,1,2,2,1,3,2,1,2,2,2,2,0,-1.1512708679530343,3273
2,2,2,3,0,0,0,0,0,3,1,0,1,2,2,0,2,1,3,1,3,1,0,1,-0.08031448346515338,3290
0,1,1,2,0,1,2,3,0,3,1,2,0,3,1,1,2,1,3,3,3,0,0,3,-0.4284679695754423,3306
2,1,2,3,1,0,2,0,2,3,3,0,2,3,2,2,1,3,3,2,1,1,1,1,-0.7275957726536071,3323
2,0,2,0,3,3,1,3,3,0,2,2,2,1,3,3,3,0,1,0,0,0,3,2,-1.0218470791559582,3338
3,2,3,0,2,2,3,1,3,2,0,2,1,3,2,2,3,0,1,0,3,1,3,3,-0.9047919990074802,3355
2,1,3,3,1,2,3,0,3,3,1,1,3,1,3,0,2,3,2,2,3,0,2,3,-0.4284679695754423,3371
3,0,3,1,2,0,3,0,3,1,0,0,1,2,3,2,0,2,2,1,1,1,2,1,-0.7984085399572327,3387
0,2,1,2,3,1,3,1,3,0,2,2,1,3,0,1,0,0,3,0,3,3,2,2,-0.05154458437920098,3403
1,1,0,1,0,3,1,1,2,3,3,3,0,3,1,0,2,3,2,3,1,1,3,1,-0.8295944937221086,3419
3,3,2,3,3,3,0,0,1,0,2,0,3,1,1,3,0,3,3,3,2,2,1,1,-0.7275957726536071,3436
0,3,0,3,3,3,3,3,1,2,3,2,3,2,2,1,0,3,1,2,1,2,3,3,-0.7587821139643658,3452
3,2,3,3,3,2,2,2,1,2,3,0,2,3,1,0,2,3,2,0,0,2,1,0,-0.7396255427475766,3469
0,3,3,3,3,3,1,0,2,3,3,0,3,0,1,2,0,1,1,0,2,2,3,3,-0.4284676923086354,3485
2,2,2,1,1,0,0,0,0,2,0,1,1,1,3,2,2,0,3,2,3,3,1,0,-1.7333016504126242,3500
0,0,0,0,3,1,3,3,2,2,2,2,2,0,0,1,3,1,0,0,2,0,2,3,-0.42846769230863546,3515
0,1,0,2,1,0,1,2,2,1,3,1,0,3,0,1,1,0,3,1,1,0,2,3,-0.7275957726536071,3530
1,3,2,3,1,3,0,3,0,3,3,0,0,3,2,1,3,2,3,3,2,2,0,2,-1.2623637920815405,3547
0,2,1,2,2,0,2,2,3,2,0,3,3,0,1,2,3,2,0,2,0,2,1,2,-0.6964094313428484,3562
2,0,2,1,0,2,1,3,2,0,0,0,3,0,0,0,3,2,3,2,3,3,2,2,-1.0218470791559582,3577
1,2,0,1,3,1,0,1,1,3,0,3,0,3,0,3,0,3,0,2,3,0,2,0,-0.7708113392219349,3592
0,1,3,1,0,3,1,1,1,2,2,3,2,3,3,0,2,3,1,3,2,2,0,2,-0.6808435080168074,3609
